href,year,make,model,trim,odometer,seller_type,date_found,location,listed_price
https://www.facebook.com/marketplace/item/819183447578806/,2014,Hyundai,ix35,,148,,2025-11-26,,12500
https://www.facebook.com/marketplace/item/1193936742072493/,2014,Hyundai,ix35,,212,,2025-11-26,,8999
https://www.carsales.com.au/cars/details/2014-hyundai-ix35-elite-auto/SSE-AD-19569562/,2014,Hyundai,ix35,Elite Auto F,138,Private,2025-11-26,,12500
https://www.carsales.com.au/cars/details/2014-hyundai-ix35-elite-auto/OAG-AD-25214796/,2014,Hyundai,ix35,Elite Auto F,87,Dealer used,2025-11-26,,16800
https://www.carsales.com.au/cars/details/2013-hyundai-ix35-elite-auto-awd/SSE-AD-18951528/,2013,Hyundai,ix35,Elite Auto AWD,151,Private,2025-11-26,,10888
https://www.carsales.com.au/cars/details/2013-hyundai-ix35-active-auto/SSE-AD-19674667/,2013,Hyundai,ix35,Active Auto F,206,Private,2025-11-26,,9000
https://www.carsales.com.au/cars/details/2012-hyundai-ix35-elite-auto/SSE-AD-19746175/,2012,Hyundai,ix35,Elite Auto F,153,Private,2025-11-26,,11750
https://www.carsales.com.au/cars/details/2013-hyundai-ix35-elite-auto/SSE-AD-19720028/,2013,Hyundai,ix35,Elite Auto F,174,Private,2025-11-26,,11700
https://www.carsales.com.au/cars/details/2015-hyundai-ix35-highlander-auto-awd-my15/SSE-AD-19602019/,2015,Hyundai,ix35,Highlander Auto AWD MY15,194,Private,2025-11-26,,10500
https://www.carsales.com.au/cars/details/2013-hyundai-ix35-se-auto/OAG-AD-25259413/,2013,Hyundai,ix35,SE Auto F,117,Dealer used,2025-11-26,,13990
https://www.carsales.com.au/cars/details/2015-hyundai-ix35-active-auto-my15/SSE-AD-19613970/,2015,Hyundai,ix35,Active Auto F MY15,213,Private,2025-11-26,,7700
https://www.carsales.com.au/cars/details/2015-hyundai-ix35-elite-auto-my15/SSE-AD-19704845/,2015,Hyundai,ix35,Elite Auto F MY15,148,Private,2025-11-26,,11900
https://www.carsales.com.au/cars/details/2013-hyundai-ix35-se-auto/OAG-AD-25265135/,2013,Hyundai,ix35,SE Auto F,261,Dealer used,2025-11-26,,8995
https://www.carsales.com.au/cars/details/2013-hyundai-ix35-se-auto/SSE-AD-19726590/,2013,Hyundai,ix35,SE Auto F,92,Private,2025-11-26,,11000
https://www.carsales.com.au/cars/details/2012-hyundai-ix35-highlander-auto-awd-my12/SSE-AD-19740490/,2012,Hyundai,ix35,Highlander Auto AWD MY12,142,Private,2025-11-26,,12500
https://www.carsales.com.au/cars/details/2014-hyundai-ix35-trophy-auto-awd/SSE-AD-19746014/,2014,Hyundai,ix35,Trophy Auto AWD,122,Private,2025-11-26,,14000
https://www.carsales.com.au/cars/details/2015-hyundai-ix35-se-auto-my15/SSE-AD-19751532/,2015,Hyundai,ix35,SE Auto F MY15,123,Private,2025-11-26,,14999
https://www.carsales.com.au/cars/details/2015-hyundai-ix35-elite-auto-awd-my15/SSE-AD-19675345/,2015,Hyundai,ix35,Elite Auto AWD MY15,170,Private,2025-11-26,,11000
https://www.carsales.com.au/cars/details/2015-hyundai-ix35-se-auto-my15/SSE-AD-19631275/,2015,Hyundai,ix35,SE Auto F MY15,153,Private,2025-11-26,,11000
https://www.carsales.com.au/cars/details/2014-hyundai-ix35-se-auto/SSE-AD-19196484/,2014,Hyundai,ix35,SE Auto F,198,Private,2025-11-26,,12800
https://www.carsales.com.au/cars/details/2012-hyundai-ix35-highlander-auto-awd-my12/OAG-AD-25252543/,2012,Hyundai,ix35,Highlander Auto AWD MY12,137,Dealer used,2025-11-26,,12800
https://www.carsales.com.au/cars/details/2013-hyundai-ix35-se-auto/SSE-AD-19723168/,2013,Hyundai,ix35,SE Auto F,159,Private,2025-11-26,,11500
https://www.facebook.com/marketplace/item/2149675595843138/,2015,Hyundai,ix35,,149,,2025-11-26,,11999
https://www.facebook.com/marketplace/item/610315605442904/,2014,Hyundai,ix35,,173,,2025-11-26,,8999
https://www.carsales.com.au/cars/details/2012-hyundai-ix35-highlander-auto-awd/SSE-AD-19751541/,2012,Hyundai,ix35,Highlander Auto AWD,252,Private,2025-11-26,,6950
https://www.facebook.com/marketplace/item/1324425475656768/,2014,Hyundai,ix35,,158,,2025-11-26,,10999
https://www.facebook.com/marketplace/item/649706278219777/,2015,Hyundai,ix35,,145,,2025-11-26,,13500
https://www.facebook.com/marketplace/item/826116140412889/,2013,Hyundai,ix35,,170,,2025-11-26,,8700
https://www.facebook.com/marketplace/item/1346545070345816/,2013,Hyundai,ix35,,105,,2025-11-26,,11500
https://www.facebook.com/marketplace/item/1281173977093972/,2013,Hyundai,ix35,,258,,2025-11-26,,5400
https://www.facebook.com/marketplace/item/1376041440692426/,2014,Hyundai,ix35,,200,,2025-11-26,,7999
https://www.facebook.com/marketplace/item/1334245477821329/,2012,Hyundai,ix35,,214,,2025-11-26,,8500
https://www.facebook.com/marketplace/item/1313923223801425/,2014,Hyundai,ix35,,179,,2025-11-26,,10500
https://www.facebook.com/marketplace/item/1483596686198094/,2013,Hyundai,ix35,,237,,2025-11-26,,8400
https://www.facebook.com/marketplace/item/24918717464417871/,2014,Hyundai,ix35,,107,,2025-11-26,,13000
https://www.facebook.com/marketplace/item/25295576163371313/,2014,Hyundai,ix35,,143,,2025-11-26,,9500
https://www.facebook.com/marketplace/item/854116067276826/,2014,Hyundai,ix35,,138,,2025-11-26,,10000
https://www.facebook.com/marketplace/item/1183669459387737/,2013,Hyundai,ix35,,180,,2025-11-26,,11500
https://www.facebook.com/marketplace/item/1523445415650082/,2014,Hyundai,ix35,,137,,2025-11-26,,12000
